Daily Net Revenue (Net Sales) Report — Past 365 Days
Location: Nashoba Valley Winery, Distillery & Brewery - Nashoba Valley Winery, Distillery & Brewery
Date range used (most recent 365 complete days): Thu Feb 06, 2025 – Wed Feb 04, 2026
Note: This pull returned 364 days of data for that range.

Net Revenue by Day
Date	Net Revenue
2026-02-04	$699
2026-02-03	$79.40
2026-02-02	$326
2026-02-01	$3,630
2026-01-31	$10,066
2026-01-30	$3,850
2026-01-29	$973
2026-01-28	$433
2026-01-27	$170
2026-01-26	$0
2026-01-24	$9,487
2026-01-23	$5,409
2026-01-22	$2,800
2026-01-21	$882
2026-01-20	$334
2026-01-19	$1,132
2026-01-18	$3,710
2026-01-17	$7,734
2026-01-16	$3,062
2026-01-15	$1,647
2026-01-14	$1,094
2026-01-13	$259
2026-01-12	$4
2026-01-11	$4,241
2026-01-10	$9,738
2026-01-09	$4,505
2026-01-08	$2,964
2026-01-07	$715
2026-01-06	$99
2026-01-05	$171
2026-01-04	$763
2026-01-03	$4,412
2026-01-02	$2,421
2026-01-01	$0
2025-12-31	$1,321
2025-12-30	$2,121
2025-12-29	$428
2025-12-28	$4,641
2025-12-27	$4,207
2025-12-26	$2,703
2025-12-25	$0
2025-12-24	$4,331
2025-12-23	$7,286
2025-12-22	$3,041
2025-12-21	$11,557
2025-12-20	$17,508
2025-12-19	$8,762
2025-12-18	$7,716
2025-12-17	$3,403
2025-12-16	$2,337
2025-12-15	$1,833
2025-12-14	$4,248
2025-12-13	$17,744
2025-12-12	$10,331
2025-12-11	$4,332
2025-12-10	$2,197
2025-12-09	$1,416
2025-12-08	$1,114
2025-12-07	$8,609
2025-12-06	$16,683
2025-12-05	$5,575
2025-12-04	$4,511
2025-12-03	$869
2025-12-02	$40.80
2025-12-01	$397
2025-11-30	$4,437
2025-11-29	$14,313
2025-11-28	$5,704
2025-11-27	$0
2025-11-26	$8,027
2025-11-25	$3,290
2025-11-24	$3,744
2025-11-23	$10,024
2025-11-22	$18,522
2025-11-21	$7,250
2025-11-20	$8,289
2025-11-19	$3,842
2025-11-18	$424
2025-11-17	$1,301
2025-11-16	$13,804
2025-11-15	$19,358
2025-11-14	$6,465
2025-11-13	$2,740
2025-11-12	$868
2025-11-11	$4,105
2025-11-10	$1,609
2025-11-09	$10,313
2025-11-08	$33,717
2025-11-07	$6,441
2025-11-06	$3,688
2025-11-05	$3,576
2025-11-04	$1,761
2025-11-03	$1,465
2025-11-02	$15,503
2025-11-01	$37,960
2025-10-31	$6,770
2025-10-30	$3,082
2025-10-29	$1,892
2025-10-28	$1,731
2025-10-27	$1,479
2025-10-26	$25,146
2025-10-25	$53,340
2025-10-24	$10,242
2025-10-23	$6,688
2025-10-22	$2,140
2025-10-21	$3,301
2025-10-20	$1,486
2025-10-19	$35,862
2025-10-18	$57,089
2025-10-17	$16,056
2025-10-16	$5,592
2025-10-15	$3,927
2025-10-14	$982
2025-10-13	$2,768
2025-10-12	$15,783
2025-10-11	$60,964
2025-10-10	$19,936
2025-10-09	$8,510
2025-10-08	$1,492
2025-10-07	$4,472
2025-10-06	$4,363
2025-10-05	$44,663
2025-10-04	$58,289
2025-10-03	$16,573
2025-10-02	$10,571
2025-10-01	$6,123
2025-09-30	$3,121
2025-09-29	$4,140
2025-09-28	$34,076
2025-09-27	$54,822
2025-09-26	$13,960
2025-09-25	$7,594
2025-09-24	$1,220
2025-09-23	$4,365
2025-09-22	$3,613
2025-09-21	$41,071
2025-09-20	$57,205
2025-09-19	$16,739
2025-09-18	$9,216
2025-09-17	$3,381
2025-09-16	$2,569
2025-09-15	$3,955
2025-09-14	$29,696
2025-09-13	$45,714
2025-09-12	$14,790
2025-09-11	$5,857
2025-09-10	$2,811
2025-09-09	$2,429
2025-09-08	$2,278
2025-09-07	$8,922
2025-09-06	$30,459
2025-09-05	$11,538
2025-09-04	$4,637
2025-09-03	$2,898
2025-09-02	$2,745
2025-09-01	$19,759
2025-08-31	$39,442
2025-08-30	$34,375
2025-08-29	$8,652
2025-08-28	$6,962
2025-08-27	$5,906
2025-08-26	$2,599
2025-08-25	$1,337
2025-08-24	$30,751
2025-08-23	$30,032
2025-08-22	$19,108
2025-08-21	$10,961
2025-08-20	$1,769
2025-08-19	$2,470
2025-08-18	$3,114
2025-08-17	$16,737
2025-08-16	$26,074
2025-08-15	$19,037
2025-08-14	$6,078
2025-08-13	$4,621
2025-08-12	$2,361
2025-08-11	$2,965
2025-08-10	$18,508
2025-08-09	$27,595
2025-08-08	$15,533
2025-08-07	$5,360
2025-08-06	$3,927
2025-08-05	$2,658
2025-08-04	$2,036
2025-08-03	$19,452
2025-08-02	$34,249
2025-08-01	$15,625
2025-07-31	$3,754
2025-07-30	$2,102
2025-07-29	$1,630
2025-07-28	$3,390
2025-07-27	$14,773
2025-07-26	$25,801
2025-07-25	$10,263
2025-07-24	$6,737
2025-07-23	$3,887
2025-07-22	$3,731
2025-07-21	$2,133
2025-07-20	$18,410
2025-07-19	$24,500
2025-07-18	$15,674
2025-07-17	$5,936
2025-07-16	$3,055
2025-07-15	$2,320
2025-07-14	$2,025
2025-07-13	$17,065
2025-07-12	$25,771
2025-07-11	$22,337
2025-07-10	$3,959
2025-07-09	$2,988
2025-07-08	$1,864
2025-07-07	$4,105
2025-07-06	$8,993
2025-07-05	$16,462
2025-07-04	$0
2025-07-03	$5,099
2025-07-02	$4,464
2025-07-01	$2,075
2025-06-30	$2,237
2025-06-29	$19,592
