Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Volume (product.metafields.custom.volume),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age restrictions (product.metafields.shopify.age-restrictions),Candle type (product.metafields.shopify.candle-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Drinkware material (product.metafields.shopify.drinkware-material),Event type (product.metafields.shopify.event-type),Region (product.metafields.shopify.region),Size (product.metafields.shopify.size),Ticket additional features (product.metafields.shopify.ticket-additional-features),Ticket type (product.metafields.shopify.ticket-type),Wine sweetness (product.metafields.shopify.wine-sweetness),Wine variety (product.metafields.shopify.wine-variety),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
1000,Bolt 117 Lager,"<p><em>Bolt 117</em><span> is bright, clean, and crisp. Lagered for almost 2 months, with a smooth crisp finish that'll make any backyard barbecue complete. 5% ABV and 25 IBU's.</span></p>",Nashoba,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",,,TRUE,Title,Beer,,6.06E+11,Bottle,,,,,6.06E+11,0,,-3,deny,manual,5,3,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/bolt.jpg?v=1738098563,1,,FALSE,,,Beer,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
southie-soda-355-ml-can,Southie Soda - 355 ml (Can),"<div>Bold, refreshing, and full of character—Southie Soda is a whiskey ginger cocktail that packs a punch. Crafted with Stimulus 5 year Whiskey and a fiery kick of ginger, this canned cocktail delivers a perfect balance of spice and warmth.</div>
<div> </div>
<div>Tasting Notes:</div>
<div>Strong notes of zesty/ spicy ginger upfront, giving it a crisp, invigorating bite</div>
<div>A smooth whiskey backbone, adding depth and richness to every sip. Carbonated.<br>8% ABV &amp; 12oz</div>","Nashoba Valley Winery, Distillery and Brewery","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",Distilled Spirits,No Shipping,TRUE,Title,Spirits,,Size,355 ml,,,,,,1360.77711,,-14,deny,manual,6,21,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/SouthieSoda.jpg?v=1741442720,1,,FALSE,,,Spirits,,Adult,,,,,,,,,355.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
local-elderberry-gin-fizz-355-ml-can-copy,Local Elderberry Gin Fizz - 355 ml (Can),"<p>Made with New York Elderberry Juice, Reverse Osmosis Water, and Nashoba Valley Spirits Perfect 10 Gin. Carbonated.<br>6% ABV &amp; 12oz</p>","Nashoba Valley Winery, Distillery and Brewery","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",Distilled Spirits,No Shipping,TRUE,Title,Spirits,,Size,355 ml,,,,,,1360.77711,,-10,deny,manual,6,21,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/LocalGin.jpg?v=1734296387,1,,FALSE,,,Spirits,,Adult,,,,,,,,,355.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
local-cranberry-bog-fizz-355-ml-can,Local Cranberry Bog Fizz - 355 ml (Can),"<p>Made with Cape Cod Cranberry Juice, Real Lime Juice, and Nashoba Valley Spirits Vodka. Carbonated.<br>6% ABV &amp; 12oz</p>","Nashoba Valley Winery, Distillery and Brewery","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",Distilled Spirits,No Shipping,TRUE,Title,Spirits,,Size,355 ml,,,,,,1360.77711,,-10,deny,manual,6,21,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/LocalCran.jpg?v=1734295006,1,,FALSE,,,Spirits,,Adult,,,,,,,,,355.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
local-blueberry-lemonade-355-ml-can-1,Local Blueberry Lemonade Fizz - 355 ml (Can),"<p>Made with Maine Blueberry Juice, House made Lemonade, and Nashoba Valley Spirits Vodka. Carbonated.<br>6% ABV &amp; 12oz</p>","Nashoba Valley Winery, Distillery and Brewery","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",Distilled Spirits,No Shipping,TRUE,Title,Spirits,,Size,355 ml,,,,,,1360.77711,,-24,deny,manual,6,21,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/LocalBlue.jpg?v=1734294760,1,,FALSE,,,Spirits,,Adult,,,,,,,,,355.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
local-blueberry-lemonade-355-ml-can,Local Blueberry Lemonade - 355 ml can,"<p>Our version of cognac. The silky rich bouquet slowly releases the unique blend of brandy, oak, maple and orange. Our best selling spirit!</p>","Nashoba Valley Winery, Distillery and Brewery","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",Distilled Spirits,No Shipping,FALSE,Title,Spirits,,Size,750 ml,,,,,,1360.77711,,0,deny,manual,36,21,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/NoCo1.jpg?v=1733757138,1,,FALSE,,,Spirits,,Adult,,,,,,,,,355.0ml,,,,,,,,,,,,,,,,,,,lb,,,draft
valley-view-blue-agave-750-ml,Valley View Blue Agave - 750 ml,"<p>Valley View Blue Agave Spirit is crafted using the highest quality Blue Agave. Distilled to Perfection, creating the perfect spirit for any occasion.</p>","Nashoba Valley Winery, Distillery and Brewery","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",Distilled Spirits,No Shipping,TRUE,Title,Spirits,,Size,750 ml,,,,,,1360.77711,,-1,deny,manual,36,21,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/BlueAgave.jpg?v=1734294067,1,,FALSE,,,Spirits,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
xo-grape-brandy-750-ml,XO Grape Brandy - 750 ml,<p>This XO Grape brandy aged peacefully in our cellar for 10 years in select European oak casks. This extended aging has Imparted a smooth and well rounded flavor to this spirit.</p>,"Nashoba Valley Winery, Distillery and Brewery","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Brandy",Distilled Spirits,No Shipping,TRUE,Title,Spirits,,Size,750 ml,,,,,,1360.77711,,-1,deny,manual,52,21,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/XO.jpg?v=1734293953,1,,FALSE,,,Spirits,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
papas-bourbon-750-ml,Papa's Bourbon - 750 ml,"<p>A spirit hand crafted and designed from mash to bottle to showcase the high-quality ingredients used in this product. Aged peacefully in our cellars for 3 years creates a perfect amber color, and utilizing three types of corn grown in the United States, rye, wheat and barley this spirit is the essence of what bourbon should be. With an initial hint of sweetness followed by strong notes of corn, and finishes with slight vanilla and spicy notes, this spirit is perfect for drinking neat or in any cocktail. Papa’s Bourbon Whiskey was designed by and pays tribute to our founder and Bourbon connoisseur Papa Pelletier.</p>","Nashoba Valley Winery, Distillery and Brewery","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Distilled Spirits,No Shipping,TRUE,Title,Spirits,,Size,750 ml,,,,,,1360.77711,,-2,deny,manual,44,21,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/Papa_s.jpg?v=1734293858,1,,FALSE,,,Spirits,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
wild-knight-rum-750-ml,Wild Knight Rum - 750 ml,"<p>A hand-crafted white rum made from 100% blackstrap molasses. Light-bodied with prominent notes of molasses and sweetness, this is the perfect spirit for any classic rum cocktail. The name Wild Knight pays homage to the historic rum running and World War II wooden vessel of Cape Cod, the ""Wild Knight"".</p>","Nashoba Valley Winery, Distillery and Brewery","Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Rum",Distilled Spirits,No Shipping,TRUE,Title,Spirits,,Size,750 ml,,,,,,1360.77711,,-1,deny,manual,22,21,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0623/7254/4598/files/WildKnight1.jpg?v=1734293681,1,,FALSE,,,Spirits,,Adult,,,,,,,,,750.0ml,,,,,,,,,,,,,,,,,,,lb,,,active
